date_time,hour,day,month,year,temp_C
3/27/2015 23:00,23,27,3,2015,8.2
3/28/2015 0:00,0,28,3,2015,8.2
3/28/2015 1:00,1,28,3,2015,8.3
3/28/2015 2:00,2,28,3,2015,8.2
3/28/2015 3:00,3,28,3,2015,8.2
3/28/2015 4:00,4,28,3,2015,8.1
3/28/2015 5:00,5,28,3,2015,8.1
3/28/2015 6:00,6,28,3,2015,8.1
3/28/2015 7:00,7,28,3,2015,8.1
3/28/2015 8:00,8,28,3,2015,8.1
3/28/2015 9:00,9,28,3,2015,8
3/28/2015 10:00,10,28,3,2015,8
3/28/2015 11:00,11,28,3,2015,8.1
3/28/2015 12:00,12,28,3,2015,8.1
3/28/2015 13:00,13,28,3,2015,8.2
3/28/2015 14:00,14,28,3,2015,8.2
3/28/2015 15:00,15,28,3,2015,8.1
3/28/2015 16:00,16,28,3,2015,8.1
3/28/2015 17:00,17,28,3,2015,8.1
3/28/2015 18:00,18,28,3,2015,8.2
3/28/2015 19:00,19,28,3,2015,8.1
3/28/2015 20:00,20,28,3,2015,8.1
3/28/2015 21:00,21,28,3,2015,8.1
3/28/2015 22:00,22,28,3,2015,8.1
3/28/2015 23:00,23,28,3,2015,8.1
3/29/2015 0:00,0,29,3,2015,8.1
3/29/2015 1:00,1,29,3,2015,8.1
3/29/2015 2:00,2,29,3,2015,8.1
3/29/2015 3:00,3,29,3,2015,8.1
3/29/2015 4:00,4,29,3,2015,8
3/29/2015 5:00,5,29,3,2015,8
3/29/2015 6:00,6,29,3,2015,8
3/29/2015 7:00,7,29,3,2015,8
3/29/2015 8:00,8,29,3,2015,8
3/29/2015 9:00,9,29,3,2015,8
3/29/2015 10:00,10,29,3,2015,8
3/29/2015 11:00,11,29,3,2015,8
3/29/2015 12:00,12,29,3,2015,8
3/29/2015 13:00,13,29,3,2015,8
3/29/2015 14:00,14,29,3,2015,8.1
3/29/2015 15:00,15,29,3,2015,8.1
3/29/2015 16:00,16,29,3,2015,8.1
3/29/2015 17:00,17,29,3,2015,8.2
3/29/2015 18:00,18,29,3,2015,8.4
3/29/2015 19:00,19,29,3,2015,8.3
3/29/2015 20:00,20,29,3,2015,8.4
3/29/2015 21:00,21,29,3,2015,8.3
3/29/2015 22:00,22,29,3,2015,8.6
3/29/2015 23:00,23,29,3,2015,8.7
3/30/2015 0:00,0,30,3,2015,8.4
3/30/2015 1:00,1,30,3,2015,8.5
3/30/2015 2:00,2,30,3,2015,8.4
3/30/2015 3:00,3,30,3,2015,8.5
3/30/2015 4:00,4,30,3,2015,8.6
3/30/2015 5:00,5,30,3,2015,8.7
3/30/2015 6:00,6,30,3,2015,8.7
3/30/2015 7:00,7,30,3,2015,8.8
3/30/2015 8:00,8,30,3,2015,8.8
3/30/2015 9:00,9,30,3,2015,8.8
3/30/2015 10:00,10,30,3,2015,8.9
3/30/2015 11:00,11,30,3,2015,9
3/30/2015 12:00,12,30,3,2015,9
3/30/2015 13:00,13,30,3,2015,9
3/30/2015 14:00,14,30,3,2015,9
3/30/2015 15:00,15,30,3,2015,9.1
3/30/2015 16:00,16,30,3,2015,9
3/30/2015 17:00,17,30,3,2015,9
3/30/2015 18:00,18,30,3,2015,9.3
3/30/2015 19:00,19,30,3,2015,9.1
3/30/2015 20:00,20,30,3,2015,9.1
3/30/2015 21:00,21,30,3,2015,9.3
3/30/2015 22:00,22,30,3,2015,9.3
3/30/2015 23:00,23,30,3,2015,9.3
3/31/2015 0:00,0,31,3,2015,9.1
3/31/2015 1:00,1,31,3,2015,9.1
3/31/2015 2:00,2,31,3,2015,9.1
3/31/2015 3:00,3,31,3,2015,9.1
3/31/2015 4:00,4,31,3,2015,9.1
3/31/2015 5:00,5,31,3,2015,9.1
3/31/2015 6:00,6,31,3,2015,9.1
3/31/2015 7:00,7,31,3,2015,9.2
3/31/2015 8:00,8,31,3,2015,9.2
3/31/2015 9:00,9,31,3,2015,9.2
3/31/2015 10:00,10,31,3,2015,9.2
3/31/2015 11:00,11,31,3,2015,9.2
3/31/2015 12:00,12,31,3,2015,9.3
3/31/2015 13:00,13,31,3,2015,9.3
3/31/2015 14:00,14,31,3,2015,9.3
3/31/2015 15:00,15,31,3,2015,9.3
3/31/2015 16:00,16,31,3,2015,9.3
3/31/2015 17:00,17,31,3,2015,9.3
3/31/2015 18:00,18,31,3,2015,9.3
3/31/2015 19:00,19,31,3,2015,9.3
3/31/2015 20:00,20,31,3,2015,9.3
3/31/2015 21:00,21,31,3,2015,9.3
3/31/2015 22:00,22,31,3,2015,9.3
3/31/2015 23:00,23,31,3,2015,9.2
4/1/2015 0:00,0,1,4,2015,9.2
4/1/2015 1:00,1,1,4,2015,9.2
4/1/2015 2:00,2,1,4,2015,9.2
4/1/2015 3:00,3,1,4,2015,9.2
4/1/2015 4:00,4,1,4,2015,9.1
4/1/2015 5:00,5,1,4,2015,9.1
4/1/2015 6:00,6,1,4,2015,9.2
4/1/2015 7:00,7,1,4,2015,9.1
4/1/2015 8:00,8,1,4,2015,9.1
4/1/2015 9:00,9,1,4,2015,9.1
4/1/2015 10:00,10,1,4,2015,9.1
4/1/2015 11:00,11,1,4,2015,9.1
4/1/2015 12:00,12,1,4,2015,9.1
4/1/2015 13:00,13,1,4,2015,9.1
4/1/2015 14:00,14,1,4,2015,9.1
4/1/2015 15:00,15,1,4,2015,9.1
4/1/2015 16:00,16,1,4,2015,9.1
4/1/2015 17:00,17,1,4,2015,9.1
4/1/2015 18:00,18,1,4,2015,9.1
4/1/2015 19:00,19,1,4,2015,9.1
4/1/2015 20:00,20,1,4,2015,9.1
4/1/2015 21:00,21,1,4,2015,9.1
4/1/2015 22:00,22,1,4,2015,9.1
4/1/2015 23:00,23,1,4,2015,9.1
4/2/2015 0:00,0,2,4,2015,9
4/2/2015 1:00,1,2,4,2015,8.9
4/2/2015 2:00,2,2,4,2015,8.9
4/2/2015 3:00,3,2,4,2015,8.9
4/2/2015 4:00,4,2,4,2015,8.9
4/2/2015 5:00,5,2,4,2015,8.9
4/2/2015 6:00,6,2,4,2015,8.9
4/2/2015 7:00,7,2,4,2015,8.9
4/2/2015 8:00,8,2,4,2015,8.9
4/2/2015 9:00,9,2,4,2015,8.9
4/2/2015 10:00,10,2,4,2015,8.9
4/2/2015 11:00,11,2,4,2015,8.9
4/2/2015 12:00,12,2,4,2015,8.9
4/2/2015 13:00,13,2,4,2015,8.9
4/2/2015 14:00,14,2,4,2015,8.9
4/2/2015 15:00,15,2,4,2015,8.9
4/2/2015 16:00,16,2,4,2015,8.9
4/2/2015 17:00,17,2,4,2015,8.9
4/2/2015 18:00,18,2,4,2015,9
4/2/2015 19:00,19,2,4,2015,9
4/2/2015 20:00,20,2,4,2015,9
4/2/2015 21:00,21,2,4,2015,9
4/2/2015 22:00,22,2,4,2015,9
4/2/2015 23:00,23,2,4,2015,9
4/3/2015 0:00,0,3,4,2015,9
4/3/2015 1:00,1,3,4,2015,9
4/3/2015 2:00,2,3,4,2015,9
4/3/2015 3:00,3,3,4,2015,9
4/3/2015 4:00,4,3,4,2015,9
4/3/2015 5:00,5,3,4,2015,9
4/3/2015 6:00,6,3,4,2015,9
4/3/2015 7:00,7,3,4,2015,9
4/3/2015 8:00,8,3,4,2015,9
4/3/2015 9:00,9,3,4,2015,9
4/3/2015 10:00,10,3,4,2015,9
4/3/2015 11:00,11,3,4,2015,9
4/3/2015 12:00,12,3,4,2015,9
4/3/2015 13:00,13,3,4,2015,9
4/3/2015 14:00,14,3,4,2015,9
4/3/2015 15:00,15,3,4,2015,9
4/3/2015 16:00,16,3,4,2015,9
4/3/2015 17:00,17,3,4,2015,8.9
4/3/2015 18:00,18,3,4,2015,8.9
4/3/2015 19:00,19,3,4,2015,8.9
4/3/2015 20:00,20,3,4,2015,8.9
4/3/2015 21:00,21,3,4,2015,9
4/3/2015 22:00,22,3,4,2015,9
4/3/2015 23:00,23,3,4,2015,9
4/4/2015 0:00,0,4,4,2015,8.9
4/4/2015 1:00,1,4,4,2015,9
4/4/2015 2:00,2,4,4,2015,8.9
4/4/2015 3:00,3,4,4,2015,8.8
4/4/2015 4:00,4,4,4,2015,8.8
4/4/2015 5:00,5,4,4,2015,8.8
4/4/2015 6:00,6,4,4,2015,8.9
4/4/2015 7:00,7,4,4,2015,8.8
4/4/2015 8:00,8,4,4,2015,8.8
4/4/2015 9:00,9,4,4,2015,8.8
4/4/2015 10:00,10,4,4,2015,8.8
4/4/2015 11:00,11,4,4,2015,8.8
4/4/2015 12:00,12,4,4,2015,8.8
4/4/2015 13:00,13,4,4,2015,8.8
4/4/2015 14:00,14,4,4,2015,8.8
4/4/2015 15:00,15,4,4,2015,8.8
4/4/2015 16:00,16,4,4,2015,8.7
4/4/2015 17:00,17,4,4,2015,8.6
4/4/2015 18:00,18,4,4,2015,8.8
4/4/2015 19:00,19,4,4,2015,8.8
4/4/2015 20:00,20,4,4,2015,8.7
4/4/2015 21:00,21,4,4,2015,8.7
4/4/2015 22:00,22,4,4,2015,8.7
4/4/2015 23:00,23,4,4,2015,8.6
4/5/2015 0:00,0,5,4,2015,8.6
4/5/2015 1:00,1,5,4,2015,8.6
4/5/2015 2:00,2,5,4,2015,8.6
4/5/2015 3:00,3,5,4,2015,8.6
4/5/2015 4:00,4,5,4,2015,8.6
4/5/2015 5:00,5,5,4,2015,8.5
4/5/2015 6:00,6,5,4,2015,8.6
4/5/2015 7:00,7,5,4,2015,8.5
4/5/2015 8:00,8,5,4,2015,8.6
4/5/2015 9:00,9,5,4,2015,8.5
4/5/2015 10:00,10,5,4,2015,8.5
4/5/2015 11:00,11,5,4,2015,8.5
4/5/2015 12:00,12,5,4,2015,8.5
4/5/2015 13:00,13,5,4,2015,8.5
4/5/2015 14:00,14,5,4,2015,8.5
4/5/2015 15:00,15,5,4,2015,8.5
4/5/2015 16:00,16,5,4,2015,8.5
4/5/2015 17:00,17,5,4,2015,8.5
4/5/2015 18:00,18,5,4,2015,8.5
4/5/2015 19:00,19,5,4,2015,8.6
4/5/2015 20:00,20,5,4,2015,8.5
4/5/2015 21:00,21,5,4,2015,8.4
4/5/2015 22:00,22,5,4,2015,8.4
4/5/2015 23:00,23,5,4,2015,8.6
4/6/2015 0:00,0,6,4,2015,8.5
4/6/2015 1:00,1,6,4,2015,8.3
4/6/2015 2:00,2,6,4,2015,8.5
4/6/2015 3:00,3,6,4,2015,8.5
4/6/2015 4:00,4,6,4,2015,8.5
4/6/2015 5:00,5,6,4,2015,8.4
4/6/2015 6:00,6,6,4,2015,8.4
4/6/2015 7:00,7,6,4,2015,8.4
4/6/2015 8:00,8,6,4,2015,8.4
4/6/2015 9:00,9,6,4,2015,8.4
4/6/2015 10:00,10,6,4,2015,8.3
4/6/2015 11:00,11,6,4,2015,8.3
4/6/2015 12:00,12,6,4,2015,8.3
4/6/2015 13:00,13,6,4,2015,8.2
4/6/2015 14:00,14,6,4,2015,8.2
4/6/2015 15:00,15,6,4,2015,8.2
4/6/2015 16:00,16,6,4,2015,8.2
4/6/2015 17:00,17,6,4,2015,8.2
4/6/2015 18:00,18,6,4,2015,8.2
4/6/2015 19:00,19,6,4,2015,8.2
4/6/2015 20:00,20,6,4,2015,8.2
4/6/2015 21:00,21,6,4,2015,8.2
4/6/2015 22:00,22,6,4,2015,8.2
4/6/2015 23:00,23,6,4,2015,8.2
4/7/2015 0:00,0,7,4,2015,8.2
4/7/2015 1:00,1,7,4,2015,8.2
